detect: [weights=['../best.pt'], source=../YOLO5/images/test/, imgsz=[640, 640], conf_thres=0.3, iou_thres=0.45, max_det=1000, device=cpu, view_img=False, save_txt=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=runs/detect, name=YOLO_ANPR_640_100EPS_det, exist_ok=False, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False
YOLOv5 🚀 v6.0-155-gdc54ed5 torch 1.10.0+cu102 CPU

Fusing layers... 
Model Summary: 213 layers, 7012822 parameters, 0 gradients, 15.8 GFLOPs
image 1/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_100.jpg: 480x640 1 license_plate, Done. (0.186s)
image 2/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_104.jpg: 320x640 Done. (0.122s)
image 3/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_108.jpg: 416x640 1 license_plate, Done. (0.152s)
image 4/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_120.jpg: 384x640 1 license_plate, Done. (0.123s)
image 5/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_121.jpg: 480x640 2 license_plates, Done. (0.136s)
image 6/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_131.jpg: 448x640 1 license_plate, Done. (0.151s)
image 7/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_132.jpg: 416x640 1 license_plate, Done. (0.130s)
image 8/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_134.jpg: 384x640 1 license_plate, Done. (0.123s)
image 9/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_139.jpg: 448x640 2 license_plates, Done. (0.166s)
image 10/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_146.jpg: 384x640 1 license_plate, Done. (0.149s)
image 11/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_152.jpg: 640x480 1 license_plate, Done. (0.194s)
image 12/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_155.jpg: 480x640 1 license_plate, Done. (0.183s)
image 13/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_170.jpg: 480x640 1 license_plate, Done. (0.135s)
image 14/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_177.jpg: 480x640 2 license_plates, Done. (0.162s)
image 15/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_180.jpg: 384x640 1 license_plate, Done. (0.138s)
image 16/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_181.jpg: 448x640 1 license_plate, Done. (0.155s)
image 17/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_183.jpg: 448x640 1 license_plate, Done. (0.154s)
image 18/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_185.jpg: 512x640 1 license_plate, Done. (0.199s)
image 19/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_186.jpg: 384x640 1 license_plate, Done. (0.125s)
image 20/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_192.jpg: 384x640 1 license_plate, Done. (0.127s)
image 21/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_211.jpg: 320x640 1 license_plate, Done. (0.108s)
image 22/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_215.jpg: 576x640 1 license_plate, Done. (0.175s)
image 23/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_216.jpg: 448x640 1 license_plate, Done. (0.128s)
image 24/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_217.jpg: 416x640 1 license_plate, Done. (0.131s)
image 25/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_220.jpg: 512x640 1 license_plate, Done. (0.140s)
image 26/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_222.jpg: 448x640 1 license_plate, Done. (0.121s)
image 27/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_223.jpg: 448x640 1 license_plate, Done. (0.106s)
image 28/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_238.jpg: 416x640 1 license_plate, Done. (0.102s)
image 29/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_240.jpg: 384x640 1 license_plate, Done. (0.107s)
image 30/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_241.jpg: 384x640 1 license_plate, Done. (0.103s)
image 31/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_242.jpg: 480x640 Done. (0.115s)
image 32/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_243.jpg: 480x640 1 license_plate, Done. (0.131s)
image 33/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_249.jpg: 256x640 1 license_plate, Done. (0.094s)
image 34/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_251.jpg: 384x640 1 license_plate, Done. (0.110s)
image 35/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_254.jpg: 448x640 Done. (0.117s)
image 36/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_258.jpg: 512x640 1 license_plate, Done. (0.137s)
image 37/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_26.jpg: 544x640 1 license_plate, Done. (0.177s)
image 38/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_261.jpg: 480x640 1 license_plate, Done. (0.125s)
image 39/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_267.jpg: 384x640 2 license_plates, Done. (0.099s)
image 40/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_273.jpg: 480x640 1 license_plate, Done. (0.130s)
image 41/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_28.jpg: 384x640 2 license_plates, Done. (0.091s)
image 42/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_30.jpg: 352x640 1 license_plate, Done. (0.100s)
image 43/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_302.jpg: 544x640 1 license_plate, Done. (0.152s)
image 44/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_31.jpg: 384x640 2 license_plates, Done. (0.135s)
image 45/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_318.jpg: 480x640 2 license_plates, Done. (0.163s)
image 46/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_322.jpg: 448x640 1 license_plate, Done. (0.145s)
image 47/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_329.jpg: 448x640 2 license_plates, Done. (0.125s)
image 48/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_335.jpg: 640x608 1 license_plate, Done. (0.151s)
image 49/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_338.jpg: 480x640 1 license_plate, Done. (0.125s)
image 50/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_344.jpg: 384x640 1 license_plate, Done. (0.142s)
image 51/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_345.jpg: 512x640 1 license_plate, Done. (0.185s)
image 52/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_348.jpg: 384x640 1 license_plate, Done. (0.123s)
image 53/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_353.jpg: 544x640 1 license_plate, Done. (0.163s)
image 54/169 /mnt/c/Codes/ANP_detection/YOLO5/images/test/car_355.jpg: 416x640 1 license_plate, Done. (0.111s)
